Team,Attack,Defense,Experience,AvgHeight,Strength,ELO,FinalRating
Brazil,28.37,128,33.48,182.23,65.21,1672.7208934745297,708.2143573898119
Argentina,22.58,64,48.42,179.69,54.33,1640.1855622219955,688.6722248887982
France,17.85,69,30.88,184.92,48.7,1582.6806284060042,662.2922513624018
England,19.73,69,32.38,184.23,49.83,1567.0726072273717,656.7270428909487
Portugal,25.96,69,44.65,181.5,55.73,1539.5693189268802,649.2657275707521
Qatar,38.0,143,48.02,178.9,76.1,1500.0,645.66
Congo DR,35.12,128,28.77,181.96,66.47,1500.0,639.882
Senegal,21.04,64,39.08,183.96,51.33,1512.194426630892,635.6757706523568
Sweden,12.5,79,19.81,186.19,45.36,1516.8374371054176,633.950974842167
Belgium,20.23,69,41.73,185.81,52.99,1505.2209317848296,633.8823727139319
Colombia,16.15,69,40.12,180.0,50.3,1504.5450844856614,631.9980337942645
Jordan,15.46,69,40.88,180.31,50.28,1500.0,630.168
Norway,14.65,64,30.81,187.15,46.62,1501.2689593481648,628.4795837392659
Curaçao,18.77,64,23.88,181.92,45.67,1500.0,627.402
Ghana,18.62,69,21.88,182.62,46.07,1498.6824250718598,627.114970028744
Morocco,28.88,133,30.15,183.77,65.58,1467.7132125656135,626.4332850262454
Mexico,20.54,59,46.96,179.5,52.05,1486.0197283544023,625.637891341761
Uruguay,12.88,59,35.65,180.46,45.7,1493.8963057192218,624.9785222876887
Egypt,18.92,72,31.96,181.19,49.68,1483.4134817531788,623.1733927012715
Paraguay,14.04,64,26.5,181.62,44.53,1486.8608401702509,621.4623360681003
Switzerland,18.77,64,43.54,185.23,51.89,1474.0378422007943,620.7491368803178
Algeria,18.65,69,29.88,182.65,48.49,1476.3398059312133,619.6299223724853
Canada,19.08,69,36.81,182.31,50.7,1472.1265204822878,619.2706081929151
IR Iran,17.69,69,45.23,183.65,52.81,1464.9563479977742,617.6685391991098
Iraq,17.38,69,31.88,183.04,48.62,1467.0260287019075,615.9824114807631
Australia,18.81,74,28.27,183.58,49.16,1465.7205894515755,615.7842357806302
Tunisia,11.65,74,22.31,184.58,44.61,1448.6732000021657,606.2352800008663
USA,18.81,74,36.96,183.38,51.75,1432.985124175931,604.2440496703724
